"","mean_PM25","RR","Lower_CI","Upper_CI"
"401",54,1.01223027918439,1.00708442640694,1.0174024254881
"402",56,1.01530883267251,1.00886202415973,1.02179683744305
"403",52,1.00916106028618,1.00530996075121,1.01302691245289
"404",46,1.00000912852245,1.00000530122788,1.00001295583167
"405",48,1.00305051313035,1.0017704036658,1.00433225837914
"406",54,1.01223027918439,1.00708442640694,1.0174024254881
"407",69,1.03554892986778,1.02049313715468,1.05082684743991
"408",65,1.02927860214989,1.0169001222088,1.04180776234198
"409",46,1.00000912852245,1.00000530122788,1.00001295583167
"410",138,1.14992787973594,1.08450971512645,1.21929210052288
"411",88,1.06585862527774,1.03773409462092,1.09474538320334
"412",61,1.02304624174436,1.01331975777073,1.03286608666331
"413",64,1.02771696161712,1.01600384685673,1.03956511234003
"414",46,1.00000912852245,1.00000530122788,1.00001295583167
"415",59,1.01994422738708,1.01153430556702,1.02842406951002
"416",54,1.01223027918439,1.00708442640694,1.0174024254881
"417",51,1.00762994246002,1.00442390073476,1.01084621761714
"418",46,1.00000912852245,1.00000530122788,1.00001295583167
"419",59,1.01994422738708,1.01153430556702,1.02842406951002
"420",55,1.01376838733237,1.00797283342591,1.01959726400704
"421",46,1.00000912852245,1.00000530122788,1.00001295583167
"422",50,1.00610114767414,1.00353862167382,1.0086702170594
"423",51,1.00762994246002,1.00442390073476,1.01084621761714
"424",74,1.04344058354642,1.02500226372337,1.06221058228367
"425",70,1.03712247126386,1.02139337276758,1.05309379234166
"426",87,1.06424148485729,1.03681945662383,1.09238877690368
"427",80,1.05298999339454,1.03043952291891,1.07603396563069
"428",69,1.03554892986778,1.02049313715468,1.05082684743991
"429",61,1.02304624174436,1.01331975777073,1.03286608666331
"430",67,1.03240900567175,1.01869504557833,1.04630758696487
"431",76,1.04661405870733,1.02681148812683,1.06679853171698
"432",71,1.03869840369377,1.02229440253003,1.05536562771533
"433",55,1.01376838733237,1.00797283342591,1.01959726400704
"434",87,1.06424148485729,1.03681945662383,1.09238877690368
"435",75,1.04502611649923,1.02590647709582,1.06450208527483
"436",70,1.03712247126386,1.02139337276758,1.05309379234166
"437",57,1.01685161875623,1.00975199929978,1.02400115601077
"438",60,1.02149405706407,1.01242663807999,1.03064268498116
"439",72,1.04027673079074,1.02319622714259,1.05764236411112
"440",69,1.03554892986778,1.02049313715468,1.05082684743991
"441",68,1.03397777587782,1.01959369499137,1.04856478248258
"442",47,1.00152866633935,1.0008874633439,1.00217028011153
"443",63,1.02615769043424,1.01510836146376,1.03732728998403
"444",49,1.00457467240399,1.00265412288007,1.00649890067454
"445",66,1.03084261563285,1.01779718821684,1.04405525040455
"446",57,1.01685161875623,1.00975199929978,1.02400115601077
"447",61,1.02304624174436,1.01331975777073,1.03286608666331
"448",54,1.01223027918439,1.00708442640694,1.0174024254881
"449",60,1.02149405706407,1.01242663807999,1.03064268498116
"450",53,1.01069450468255,1.00619680241209,1.01521231169362
"451",57,1.01685161875623,1.00975199929978,1.02400115601077
"452",86,1.06262679799219,1.03590562477032,1.09003724355827
"453",70,1.03712247126386,1.02139337276758,1.05309379234166
"454",78,1.04979718553865,1.02862390597976,1.07140629763523
"455",71,1.03869840369377,1.02229440253003,1.05536562771533
"456",61,1.02304624174436,1.01331975777073,1.03286608666331
"457",50,1.00610114767414,1.00353862167382,1.0086702170594
"458",55,1.01376838733237,1.00797283342591,1.01959726400704
"459",46,1.00000912852245,1.00000530122788,1.00001295583167
"460",46,1.00000912852245,1.00000530122788,1.00001295583167
"461",56,1.01530883267251,1.00886202415973,1.02179683744305
"462",52,1.00916106028618,1.00530996075121,1.01302691245289
